Fiyat,Lokasyon,m2,Oda,Tarih
33.500 TL,KurupelitKörfez Mh.,120,1+1,22 Aralık  2025
35.000 TL,AtakumÇakırlar Yalı Mh.,200,3+1,20 Aralık  2025
15.000 TL,KöylerKüçükkolpınar Mh.,120,2+1,20 Aralık  2025
37.000 TL,AtakumEsenevler Mah.,215,4+1,18 Aralık  2025
15.000 TL,Altınkumİncesu Yalı Mh.,58,1+1,18 Aralık  2025
10.500 TL,KurupelitKörfez Mh.,105,2+1,20 Aralık  2025
32.500 TL,AtakumDenizevleri Mah.,250,4+2,06 Aralık  2025
15.000 TL,AtakumCumhuriyet Mah.,55,1+1,28 Kasım  2025
15.000 TL,KurupelitKörfez Mh.,55,1+1,25 Kasım  2025
19.000 TL,AtakentAtakent Mh.,120,2+1,22 Kasım  2025
16.000 TL,KurupelitKörfez Mh.,55,1+1,25 Aralık  2025
23.000 TL,AtakentAtakent Mh.,150,3+1,24 Aralık  2025
14.250 TL,KöylerBüyükoyumca Mh.,45,1+1,24 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,65,1+1,24 Aralık  2025
10.500 TL,KurupelitKörfez Mh.,50,1+1,24 Aralık  2025
10.500 TL,KurupelitKörfez Mh.,58,1+1,22 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,50,1+1,21 Aralık  2025
13.500 TL,KurupelitKörfez Mh.,50,1+1,22 Aralık  2025
21.000 TL,KurupelitKörfez Mh.,110,2+1,24 Aralık  2025
14.500 TL,AtakentAtakent Mh.,105,2+1,21 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,55,1+1,26 Aralık  2025
17.000 TL,AtakentYenimahalle Mah.,65,1+1,26 Aralık  2025
13.500 TL,AtakentYenimahalle Mah.,50,1+1,26 Aralık  2025
18.500 TL,AtakumYalı Mh.,160,3+1,26 Aralık  2025
12.500 TL,AtakentYenimahalle Mah.,55,1+1,26 Aralık  2025
13.450 TL,KurupelitKörfez Mh.,55,1+1,26 Aralık  2025
15.750 TL,KurupelitKörfez Mh.,55,1+1,26 Aralık  2025
23.000 TL,AtakumEsenevler Mah.,170,3+1,26 Aralık  2025
27.000 TL,AtakentAtakent Mh.,155,3+1,26 Aralık  2025
18.000 TL,KurupelitKörfez Mh.,85,2+1,26 Aralık  2025
15.500 TL,AtakentYenimahalle Mah.,60,1+1,26 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,55,1+1,26 Aralık  2025
10.000 TL,KöylerBüyükoyumca Mh.,54,1+1,26 Aralık  2025
15.500 TL,AtakentYenimahalle Mah.,53,1+1,26 Aralık  2025
24.000 TL,KurupelitKörfez Mh.,55,1+1,26 Aralık  2025
30.000 TL,AtakentAtatepe,145,3+1,26 Aralık  2025
16.000 TL,KurupelitKörfez Mh.,45,1+1,26 Aralık  2025
9.000 TL,KurupelitKörfez Mh.,55,1+1,26 Aralık  2025
14.000 TL,AtakentYenimahalle Mah.,50,1+1,26 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,55,1+1,26 Aralık  2025
24.000 TL,KurupelitKörfez Mh.,160,3+1,26 Aralık  2025
18.500 TL,KurupelitKörfez Mh.,80,2+1,26 Aralık  2025
13.000 TL,Altınkumİncesu Yalı Mh.,100,1+1,26 Aralık  2025
20.000 TL,AtakumMevlana Mah.,55,1+1,26 Aralık  2025
17.500 TL,AtakentAtakent Mh.,95,2+1,26 Aralık  2025
80.000 TL,AtakumMimarsinan Mah.,240,4+1,26 Aralık  2025
14.500 TL,KurupelitKörfez Mh.,55,1+1,26 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,65,1+1,26 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,53,1+1,26 Aralık  2025
25.000 TL,MerkezAlanlı Mh.,125,2+1,26 Aralık  2025
21.000 TL,AtakumCumhuriyet Mah.,160,3+1,26 Aralık  2025
20.500 TL,AtakentAtakent Mh.,105,2+1,26 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,68,1+1,26 Aralık  2025
30.000 TL,AtakentYenimahalle Mah.,110,2+1,26 Aralık  2025
27.500 TL,KöylerKüçükkolpınar Mh.,105,2+1,26 Aralık  2025
27.500 TL,AtakentGüzelyalı Mh.,105,2+1,26 Aralık  2025
30.000 TL,KurupelitKörfez Mh.,240,4+1,26 Aralık  2025
25.000 TL,KöylerÇobanlı Mh.,145,3+1,26 Aralık  2025
16.000 TL,KöylerBalaç Mh.,45,1+1,26 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,55,1+1,26 Aralık  2025
10.450 TL,KurupelitKörfez Mh.,49,1+1,26 Aralık  2025
28.000 TL,AtakentAtakent Mh.,155,3+1,26 Aralık  2025
22.000 TL,AtakumEsenevler Mah.,100,2+1,26 Aralık  2025
25.000 TL,AtakumCumhuriyet Mah.,150,3+1,26 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,50,1+1,26 Aralık  2025
23.000 TL,AtakumMevlana Mah.,55,1+1,26 Aralık  2025
23.000 TL,AtakumBeypınar Mh.,110,2+1,26 Aralık  2025
12.000 TL,AtakumBeypınar Mh.,55,1+1,26 Aralık  2025
18.000 TL,AtakumCumhuriyet Mah.,60,1+1,26 Aralık  2025
14.250 TL,KurupelitKörfez Mh.,50,1+1,26 Aralık  2025
18.500 TL,AtakentYenimahalle Mah.,55,1+1,26 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,60,1+1,26 Aralık  2025
14.000 TL,AtakumEsenevler Mah.,48,1+1,26 Aralık  2025
25.000 TL,AtakentGüzelyalı Mh.,110,3+1,26 Aralık  2025
9.800 TL,KurupelitKörfez Mh.,52,1+1,26 Aralık  2025
175.000 TL,KurupelitKörfez Mh.,450,4+1,26 Aralık  2025
18.500 TL,AtakumCumhuriyet Mah.,145,3+1,26 Aralık  2025
13.000 TL,MerkezAlanlı Mh.,60,1+1,26 Aralık  2025
18.000 TL,AtakentAtakent Mh.,80,1+1,26 Aralık  2025
19.000 TL,AtakumMevlana Mah.,55,1+1,26 Aralık  2025
15.500 TL,KurupelitKörfez Mh.,55,1+1,26 Aralık  2025
18.500 TL,KurupelitKörfez Mh.,95,2+1,26 Aralık  2025
14.000 TL,AtakentYenimahalle Mah.,48,1+1,26 Aralık  2025
7.500 TL,AtakumMevlana Mah.,55,1+1,26 Aralık  2025
23.000 TL,KurupelitKörfez Mh.,90,2+1,26 Aralık  2025
16.000 TL,KöylerBüyükoyumca Mh.,75,2+1,26 Aralık  2025
25.000 TL,AtakumMevlana Mah.,85,2+1,25 Aralık  2025
35.000 TL,AtakentAtakent Mh.,170,3+1,25 Aralık  2025
37.000 TL,KurupelitKörfez Mh.,155,3+1,25 Aralık  2025
39.500 TL,AtakumMimarsinan Mah.,180,3+1,25 Aralık  2025
33.500 TL,AtakentGüzelyalı Mh.,135,3+1,25 Aralık  2025
15.250 TL,AtakentAtatepe,50,1+1,25 Aralık  2025
